18/10/21 03:24:02 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/21 03:24:02 INFO client.RMProxy: Connecting to ResourceManager at cluster-csci572-hw3-m/10.138.0.2:8032
18/10/21 03:24:04 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/21 03:24:05 INFO gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/10/21 03:24:05 INFO gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/10/21 03:24:06 INFO input.FileInputFormat: Total input files to process : 74
18/10/21 03:24:06 INFO mapreduce.JobSubmitter: number of splits:74
18/10/21 03:24:06 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1540057669018_0022
18/10/21 03:24:06 INFO impl.YarnClientImpl: Submitted application application_1540057669018_0022
18/10/21 03:24:06 INFO mapreduce.Job: The url to track the job: http://cluster-csci572-hw3-m:8088/proxy/application_1540057669018_0022/
18/10/21 03:24:06 INFO mapreduce.Job: Running job: job_1540057669018_0022
18/10/21 03:24:13 INFO mapreduce.Job: Job job_1540057669018_0022 running in uber mode : false
18/10/21 03:24:13 INFO mapreduce.Job:  map 0% reduce 0%
18/10/21 03:24:33 INFO mapreduce.Job:  map 1% reduce 0%
18/10/21 03:24:34 INFO mapreduce.Job:  map 2% reduce 0%
18/10/21 03:24:37 INFO mapreduce.Job:  map 6% reduce 0%
18/10/21 03:24:39 INFO mapreduce.Job:  map 10% reduce 0%
18/10/21 03:25:06 INFO mapreduce.Job:  map 11% reduce 0%
18/10/21 03:25:15 INFO mapreduce.Job:  map 12% reduce 0%
18/10/21 03:25:22 INFO mapreduce.Job:  map 14% reduce 0%
18/10/21 03:25:25 INFO mapreduce.Job:  map 16% reduce 0%
18/10/21 03:25:27 INFO mapreduce.Job:  map 17% reduce 0%
18/10/21 03:25:42 INFO mapreduce.Job:  map 18% reduce 0%
18/10/21 03:25:43 INFO mapreduce.Job:  map 20% reduce 0%
18/10/21 03:25:44 INFO mapreduce.Job:  map 21% reduce 0%
18/10/21 03:25:45 INFO mapreduce.Job:  map 22% reduce 0%
18/10/21 03:25:47 INFO mapreduce.Job:  map 23% reduce 0%
18/10/21 03:25:49 INFO mapreduce.Job:  map 24% reduce 0%
18/10/21 03:25:55 INFO mapreduce.Job:  map 25% reduce 0%
18/10/21 03:26:02 INFO mapreduce.Job:  map 26% reduce 0%
18/10/21 03:26:14 INFO mapreduce.Job:  map 27% reduce 0%
18/10/21 03:26:16 INFO mapreduce.Job:  map 28% reduce 0%
18/10/21 03:26:20 INFO mapreduce.Job:  map 30% reduce 0%
18/10/21 03:26:21 INFO mapreduce.Job:  map 31% reduce 0%
